tort #,id,Insc #,tort #,rarity score,rank
56,62863de5413eaf220aa30f4b8df2555376118136be24554207031e42c863875ei0,40296,56,108.8,377
57,ff354b0bfc0463c767611278fd48fa014d7ecc5162d157457fb691dc734193d2i0,17045,57,100.2,195
58,09eab3c6eaaf347b9d81963759bbbf7ef69b2edeebde194e54bf10a6c4514732i0,40162,58,116.4,511
59,22eb1dcdb1ba2cafdcc28c7960696ea3650ae3ae8fd9c5ed4223d787393e85fci0,16663,59,97.4,146
60,ee229d7b1c3e6f7d450b9c50719f53c21cb08459573489839afc86de345fdf4fi0,39263,60,115.9,506
61,e78c099f6b9ae3772976be274429e54c7722328ad708e4bb2ace56edccfb99c8i0,40531,61,98.2,159
62,9a8c349e581265cc96d82338c63418740d502c9c990cc3f446f6c2f20af03f5bi0,17291,62,103.8,262
63,b1b2da94aab22c1fa974cb57872db7240e1e31adca38346972df74371211ed18i0,40231,63,111.2,428
64,44f4a45599bf3dfdf5c0611a38cfa252dcc5f8932eeb13bbc19744e8a146d747i0,46065,64,83.8,37
65,7db4709e78fb6960f7e5b934bb0df73ada52defe03c42d9947c5a1fc6e45ff86i0,39266,65,95.4,123
66,160242d4c1424ed956ff2fd8d980dd5a3e5c700f5c8ba5248b4368f90358a656i0,39942,66,83.2,34
67,4875e22fc7ad26b98cb7c9c61c2ecd0eab1576419d0e264ca9be4365da4c44d4i0,46075,67,117.4,518
68,08d1cf294bc901de2fbf4c0403d7c099e7576f13dcb1ad98a9fb4a6946d8c080i0,39948,68,124.4,548
69,8b379ea4a965dd3f119de8fc56ec55039b4a712c76a65325ef925b1437072e73i0,40299,69,109,382
70,cc1749a2255a11baa0ea4759ec877ad0cb4bbac60755573e8f3ff12adde408b3i0,17043,70,119.2,528
71,95c836177d325f3e322b187fa468949cf997f66d3db43fd5878af179d1e0820di0,16620,71,106.2,316
72,bb16e3eb593e90fba7304d6dee5b116238319df7dfe77d8a48903c0e7be0789fi0,39273,72,81.8,26
73,b4cf5626ce1e460e2c109062a918711693b53f4cdea796a31e1317744d1cc8fai0,45632,73,105.45,304
74,17e1a3c992d2ecc9b7d4a668878cac34ffadef75611db6c8ef3d4d69ec12ac46i0,45682,74,105.64,308
75,143474260b4a88dcf880f2f90272341a3a908be34cd1d453d590df4ff4f7d5f9i0,40343,75,95.4,124
76,a6d9408d12f68db6bd8e817721c0e543b3a2cc4addd660d70e0762841d780d78i0,40661,76,109,383
77,499cb94c83644451efe6ca4a576a0559a034d18656e48a4bbe140db131b213efi0,37359,77,73.4,11
78,35c33bc53506eb8d18c12bc756048989786834a4124c67f03b3134e132c0e74fi0,40166,78,110.39,416
79,7a959cf88efd49106bb6e42ce25d69de4e5eca01fd9b331ef15e0c0b0e442b7ai0,45623,79,105.8,309
80,973c4666b07ab6446d78d044faa96d6828d9f793f57ccf240b4cdb71fc558ef1i0,45956,80,98.99,171
81,88194c2e84793fcd8543bc62a605976d964a727d5a92b9aca87385e78f9ad63ai0,40164,81,100.4,200
82,6502d3de80c7b2d9824ff6d7b18e042e0adf9ba037e3bf45eb74d2d29e21aa6ai0,38969,82,104.4,274
83,dd243287030163a2edd7b5706f7300872c473d1cb510cc4c8b8677433fc54ac1i0,39954,83,101.8,230
84,aee75f2497427a74b11055bb2d865b79d84026a655883cc8796ba64fa2e5962ei0,35733,84,102.2,234
85,d5513b5785ecee6a286128a3e77061f89db0bd4f9a6b3b8174bc971d9b0a0a3di0,40328,85,111.4,433
