tort #,id,Insc #,tort #,rarity score,rank
244,a488cb674221f3dacbf41a7d270345e47931c1615790710e4b28ab7bfe836b07i0,38954,244,107.92,364
245,980153d7a2e45fc35c04732bc5dc823dc991e2189016f2dd7dd092725784f61ai0,17049,245,101.4,222
246,b0ad1531936333ff55e10d8b7926864456424be456841853be497865b7affc4ai0,38964,246,108.6,373
247,a8f213bb3b685590f1c4e5c3cc8ae181e9c188bbcfef1d8b1de4d6bd9651138ei0,45875,247,113.2,466
248,3ddcc583ecf01b4df516cd554f9ff36cc18e7b055582f058a6d97c0c86581eb7i0,39886,248,101.8,231
249,df89231dfd450af214d7421f9283b78f82ad7b3db4078e21132e5e2144b3e373i0,45873,249,84.17,40
250,e5289fd3cadb22f265ec7ba86c68db63d68f28023500a1834624c30449a89732i0,45748,250,107.35,350
251,3dafe9f7270bd58d471044aabda02c7e5d17d3a17307b2891491be01c61d1b28i0,40031,251,114.38,481
252,c4a1841513b66a6e51e443d57f7ff25dcad64ff309356622826390bcf00d71d9i0,39956,252,104.8,285
253,a1d7cd4d31f8d859d2a72f0e6a84c4d1d28deff06b8a876d2be6cd26f7192087i0,46154,253,94.2,113
254,95e3a8d119621c41b284dc355b3f2af98b403b2f4cbe73be89389b807358a91ei0,39866,254,100.6,204
255,c7b38be52dd3e985b6c658fcbd84dc7954d04c8bbedae66e6d9d4a6df2b0023bi0,38959,255,117.8,524
256,30fb0789cc6015bae609f33f959a7bf3503f4bcbfa8a47db2c7398f208af49a6i0,40172,256,109.2,392
257,02252ecfff3d0f061a48500170c88fb797b4789ee413cca25dab5740ae88db7di0,45477,257,80.6,21
258,eaa34f6cc94f79ddb5e0b42da2e377be52abaee1956f7d64e20f4e89776a4a7di0,45950,258,117.4,520
259,3a92fd1958ad3cd2179a30d66565cc1be3581f8c6c1e29e38a7af55c689303e6i0,39622,259,99.6,179
260,3248d09c0e94e0be34a8c20e383c78472119d85b80b1d51edd56e1b0c64dcec7i0,40302,260,105.4,302
261,1f53356d3ee666fb1c543867d2d731485ee29461bcf30eaf56ca4544fea956cdi0,39280,261,89.2,73
262,60f904e23352fcefb89f92be08258e210ac6e723c72df73ec9d88e3d3eec6474i0,40238,262,91.8,91
263,d8cac6506de42688b8f6401390b55c8941e2591cd17b2d806cab81412ca867d0i0,40142,263,88.8,68
264,0b4d88094476cb581f057881825fb603a714088a72e626d2527bcfec6651d011i0,45745,264,115.6,502
265,c8469082a5259f29d929e952462cae01cbe9feaea7838d7479ba148f18f711e8i0,40049,265,92.6,98
266,28895bfd2d9e4ae547dc5b400734a25e539d49f7550b5dd542c397ba5f9617fci0,17526,266,99.8,186
267,af01a6ea8885cc8213860b74d8f2674aa304b5609bea2f7fa5d680732476da59i0,39264,267,104.2,269
268,b037bff0e2ed502a99eea18224fc8a9fe64e513bde5e4239609da7a13981c055i0,20555,268,107.2,346
269,fda0446ec8b93f90733d4e830be2fa0269868f649540d3a9770fac05638009e1i0,17207,269,108.6,374
270,1590c50bb72350d46c030ddccaf52e786dba8f7f7529b791e555b9fcdc5bf73ci0,35786,270,103.4,254
271,69d7f87626c738f50477d75e671ee68b37ab08d37cf03ddef85e47fbba41ff88i0,45689,271,97.2,144
272,ce45be5f99eb7e7846d1376d3b98aedb1e47fc7c2cd49d8b077a3f754a060980i0,45624,272,112.8,454
273,05ea969a5e85271be96cc18f87894d5d694e74336994a6d9adc12b8e8da76e89i0,39949,273,111.6,440
274,8e09d25fb6db8c29b2a016e45c7ca45c737e441ae7ac2fd0198af1a861bdab4fi0,45260,274,113.2,467
275,4132ca15f3efb0fad94432b1fedb2815a11e5e30bcc0ab4dd61df8414d2251bai0,38976,275,81.2,23
276,0130647e504c418a35c544d57249a68bb03acf1c5b1a18a0f698e5b0ead7b88di0,35790,276,81.8,27
277,c81ef9b081f3fc5933c8d8355a0e43ed5329e63c3bf5a61b4cc8c48317482cf8i0,39283,277,122.6,538
278,d057dba5ee3cf8ed838d74deeac0b5d29c3b6706184b973a4b750d0e35d8cfefi0,35530,278,110,413
279,69703bb0e9ff4b11b7df136ea970c0f9e66881d54a65fcce145554b8bec34df9i0,35917,279,102.2,237
280,d1805cf18dd1ac64ee970844d6a817ec4378cb20a87ef094bd0218b7513b4b2ci0,40123,280,107.4,353
281,b6ca383d7a49f02917c411cc49a177300f177bfdcab0781ae54372ebf621dccci0,35735,281,106.4,327
282,d807fbdb8eefe265527106727a11cb043958d8bb8732c9185b34f5c0321447a0i0,40246,282,101.2,216
283,37379ac886a96d3f2eed8c22c047bfdec58643d420fa0063b6212014e7fee29ai0,45388,283,112.6,452
284,b31953e6cf9b29dc4e21c94a9f7e0421e7e4a23f19d319b1ced2f3bbf08a3a58i0,39154,284,126.4,554
285,0c9d6843b19f30b4804e6beafe9cbd3241e0b96c21addf6d36a3188f5f965fe4i0,45697,285,106.2,317
286,8bdf6365ce7ebe4c997a3adfe85b2e7abca44b74484f0852c79b4e5c4ba08350i0,35787,286,102.4,241
287,22b3d66d789bbb139c3a613db93738a62c6d2038fcf810fb8b33745a13ca86aci0,40664,287,103.8,265
288,232ec41221e144f19686d5f6293d673856486b82e574932746ca396a4d73efdci0,39281,288,106.4,328
289,22a49bee727443b98e8c119d0a5202fc5628e16ce580c358dd56ed0f41eed698i0,35791,289,83,32
290,6b613827cfa770cfa7409034012c35ba56d63a079cd6f3a2b461525af74f8f47i0,39941,290,107.4,354
291,e2af39962f8bddd15b0aa319bc6fe804c8ad5dc817d8ddd04185dee71d5c7e8ai0,45952,291,104.2,270
292,7c411b8a2c20f20aa31a345ce88fe423b140921d02f83ab0e12cd0500d131a5ci0,39877,292,112,445
293,bf6b1c3133b7be267652a4692938b5064e4f429949419883075b6585f4f0a7f6i0,40180,293,93.2,103
294,40edb980a6b6bf50c6ecd82328e867c42a3f70fd31c322099ab64f8121cc10a6i0,35914,294,65.8,9
295,6b8b1b1ecafae550feb8590d4da0e377b7fe787e707134b13b59ae8f835c84edi0,17125,295,120.2,532
296,276c53f0803dd4db3e6d09f4ed5acfaf63cd046afd33687d1f6df9df2e0cda27i0,45746,296,111.2,430
297,a6c72852857c00e8b951fa9ff40f9cda3857a193a5f99db6aea2b1b90d37e45fi0,37956,297,114,477
298,dc303143e2bed9713de4567e4a541e7cddcabe0a75d9995fa780e50ba9aab061i0,45355,298,83.8,38
299,cd0010384553e19e285b738b3240f27142337bcced2534cdf002109de8ea653ei0,40295,299,108.87,381
300,1ce9fbdf2f756147af4f3791442f15aa8b1d5a6e031a90ca66e922c7fbdc7b63i0,38967,300,108.6,375
301,758a8d8194034e37371eb8ab9c816ededda97036e5ab7cfb22957116bd43d542i0,16186,301,114.4,482
302,b805ecab5edb1e2d957718fde426bec9d7ab0e43cf090e6e782f293a27614099i0,39618,302,93.29,106
303,668ea337a29f00df5708ec2dab8b29bdf6d669c38c46ab3890ffd51bcffc7aafi0,18661,303,122.4,537
304,b2431fe8d1a85309cc77672fdc980ceb3513067a1e4b002a8cd5d81ce12fd18ai0,35789,304,105.2,299
305,866fe996c9685b46ccf680db0580b46e4c930759408a6152935d257ecc0e8bb4i0,40249,305,82.2,29
306,d5108a7e9c619616ff39eca3df3533d8eca5835ba4cc2ddb05b36b05eadae9e2i0,45630,306,113.05,461
307,ebb4f1d69a557897a51ae99e5b0d6f5b35fa6c02fa4aa910099557fcb1a1ea80i0,39156,307,108.49,372
308,54f75b41f4b9decdcfaea80d47b184dca6a06eeecee04bd7b38e79e5b878d8b5i0,39953,308,107.2,347
309,b90f75977006a1a8d14572ea05914f5c41807679bbb17e90286ad65bb7fe8afei0,37223,309,97.6,152
310,c723dbbee0fa21afe09514b7bc5d0041995222ac74b1b744c33bd4e3733923f1i0,39167,310,109.8,405
311,80c7cfee6cdfe6567e156884f8a60eedb3b09bac2cd1180e1f7c3bab0d32f46ei0,39944,311,95.76,127
312,70a74483537db27b2357acf86c186b3430af7cd1c956eb0fe24925448e573049i0,45749,312,97.2,145
313,cb31bb6e11c95f9b18f42093bb2af368a4a9c67d22cf9f2aed473689f5caaaadi0,41052,313,100.13,194
314,ba2bae0738acfd9590b8cf5840324048c089b6d068f61f10f3bc50e0e03ae150i0,39153,314,112.8,455
315,1facee6560ffff0559daad1b7fadcc4de18f7a29ed12b0c5626502027cda7e8ei0,46155,315,101.2,217
316,f504d97672aed73e194c1b0444dfa5baab6e3a7e9c044d1be6181c703d4f7125i0,40656,316,108.11,367
317,3239fd66b6762eaae92f88ecd9a7b8be5cc65de28b56ef5331f55697266d0b36i0,40163,317,96.71,139
318,72568f42c2f09b32a22c42e7c64dde682b232b7072bb3fcb9aab7037e9646041i0,40034,318,104.6,277
319,7c9e6dd01dbd4893da5a6eb5756eb850a3b4abfe444b77047bf270218fb55057i0,40330,319,114.57,486
320,45d0e9b580f48d462ebd415b2f6bac1fbe65e6e000670efc9b08a9e3ebac9587i0,40335,320,104.6,278
321,5a4c6c96b9c34df996843a4862558e0aeaf7b106a5616b2afc6d30333a53acfdi0,37797,321,122.6,539
322,7d8c96947229173f42af14c3478c6f3ee2c549da3469196a25ec997251540dd5i0,45414,322,87.8,61
323,5ed04cd5ad54177123787962728bf6f3ebe0b07328886f4ce07d7f2513310ca0i0,39274,323,101,210
324,3cfbb3a7cc776d7aaad36e95c8fd7312cd92605482801227fe44ec5d7c9e5731i0,39937,324,113,458
325,16d060c6cddb1e0ab1da1b16cf8e645509e86ae7e330b766a5cf3a15bc2ac6f9i0,39171,325,117.6,522
326,cccab2431300cc34487cd8fa911fb86b27bf63f678c2109023e7f9c59d846ac5i0,40139,326,106.21,320
327,fc7be0ce53b10fdc2935a14da4ae65f673bd5d67377fc98c3714aba14110b134i0,40033,327,91.2,86
328,e0a9374ff68d583a7b11c1c9651cbcf4f7850a9db0ae267965a8b4d6420e2a9ei0,45692,328,109,384
329,9988f244b5a4a6c88d7605d6e08015e792296aabfe614be151e39d70936206b2i0,46158,329,119.13,527
330,17a90109d77e54e4ab58820a3d8cfba410c1021d13f1dde34be10800b41b0dc1i0,40138,330,101.46,225
331,75e054872f1e258215a6dffe02b5686c8ec966c63cc179193df8900cc62efaaci0,18348,331,109.2,393
332,e2b7b6e4e1cb9bfa360e9fa37798da5cf7e10c8600f938c3f20e0b5debea11d3i0,45486,332,95.4,125
333,2a00b4625f234b16da59a314a2af99ac58691a9f65d0949869a69d17a4e3bff2i0,39170,333,120.2,533
334,489bd1c00d9fba99c36348814d116461f81880b813dd445d5eb19d7f024c530fi0,39865,334,97.66,153
335,ad2083a4bc3762765d0795edcd4f870943dc94d84f7495a7ec0c18b6dc8804d6i0,40533,335,104.6,279
336,90917a23c8f1182a142a07be51917dc29faf231ac430a3b6d75c97744415cbc4i0,40044,336,105.07,296
337,bc78f73271b914393186fcf4682fd1208cb2354e53c41dc6157351a5d1f610b9i0,37804,337,94,112
338,f5ab630fb4ee1c4dcc536044c374614260253d21f88f9290a1c7ca5e4e985843i0,40035,338,89,72
339,28fdbb7bf33a2874d4239c20debee09ada61d94f3ce94068007363f9c29f77fdi0,34656,339,87.4,59
340,906d2229f6468a0659e42a9060861755e9b51b77c17b64f604a6975abbe47dc9i0,45953,340,115.4,497
341,aa271d8dd86ecec18e0fd2364f52fb1456fae3962f4d54db7307bb40d986caf0i0,35796,341,117.6,523
342,5fa88d751e7c72f808d1217fd385d52e046956666f3748c1c848e5f570634bdci0,45629,342,111.72,441
343,dbec9c91dd32e0fb1d188aa9793fa5b91db055b78e06cd8b229fee793157c0a1i0,39884,343,86,46
344,b667117cf04a805dd1f9a12edb4e27887729c7b7cfe7a779e9f71d61fe335c94i0,37577,344,104,266
345,d88401bdcfa9ae301f86e89d5c1aa726c4f5cc08d000c776815a190ad53fbfe2i0,39621,345,112,446
346,56ab6a968567e8d8235f10ac2327675d577782a031d8af993b86039585f0e785i0,40662,346,109.06,388
347,59eec447bc0e1b0ea46976f26efaff850ae0cc7d7ade38a5db7d3a42366dd62ai0,35354,347,85,42
348,6927aaa75630f487ddd76666ba9f4302638aaa268ffa4b2f0d2d407a5e209821i0,33860,348,97.4,148
349,9e1f7f279aaa1cd3e975979a6bd0279f3ace1c965b8fa4abd4e0b7ee7ba317cei0,40253,349,100.2,197
350,fccdccba1ea395f20a2564b113f2aabde9b4b001740a2f28a60274a73c542ff2i0,39169,350,102.4,242
351,e6c8450853d807c8b7e4af2c5458b1a18ade8a8b8948afebede39b4951440a2ci0,40160,351,88.92,70
352,1d52e692a345ca7cd9c962f15c073e5810443f0836a1f40bfc37d78679ee779bi0,45753,352,98.2,160
353,764828878466129b06ba2121e981154ede9d8acaa4b771ff5282f4a492edcaf0i0,38984,353,75.2,13
354,6752aa49c7fedb2b5f6c763b291ad1a8ab8e4e3d3f06e6c3bbc91166f9f2c54di0,40528,354,102.8,246
355,bb4278dd56f849313125eb64a610cb66565fe277195ef25e08c1738363e3318ci0,25860,355,109,385
356,a403f249ca1b2a302b4ddfb929f94244c0da6935f1a5014a6b6e2b49383146e4i0,46076,356,101.4,223
357,06e4e16db15ee1f1c9eb01884deea476536b18c83edb5a0f50f095cec055073ai0,40125,357,112,447
358,bc5ae39926ab499254849b87ff6405033dcf42e596033e3af80f031d08a468cfi0,40254,358,97,142
359,f454cb794f4fe9130a98b46718c287e9a3ac2fdc3f84f0ef5b0279fc6065ac26i0,40159,359,104.8,286
360,4c9aba520f19f876d6be20057491ccbd89bd559c6a1fbf60c9868600332898aai0,35792,360,82.2,30
361,24d6a5160b3b481c58b32b1a8fa0d77a6e2e046a4ef161c056e6760ce0ee56bci0,40043,361,126.4,555
362,1a3d8380b3e2523a72d3b78f65db098024f36df472aead4332c0d0329e6b74d7i0,40340,362,104.2,271
363,1f8941116871b1e924039f146ab1af96dc003937cb4545469e5425714d02bed4i0,45758,363,102.2,238
364,2a06f02d5de1951edb240b6e0bf0f29bc8b21a79db8e3fc45e8e9ce4fc95de5ai0,45350,364,100.6,205
365,fb66b35e5726df1f69c84db0ee21b61d72923612bfcc961bc19c1d6df24ebd99i0,39269,365,105,293
366,4a6fbd1b1eaf3a987d16fec3559d4067d919846f41cd6f30779d6264ea96c854i0,45684,366,96.33,135
367,23eef68070e2bb33db1459cf2b32bb4e4cd6c577a70f24b1f2e2120e31fba3d4i0,39165,367,106,312
368,5c3fd5bde984604e1cd97d6143748f6d028e22e7a71ae88d3d200dad7f55d90ai0,37167,368,90.4,80
369,4870a91208284e06d4c9ee42079a3cdf693599bcb1baa2c763e08948c0fde64ci0,40234,369,100.8,207
370,f2fcf75a8096b5958d129c71855fc8493f40c81ebb15a23fd85d7996c08fd7cai0,40532,370,89.3,74
371,f493aa8c5d7ef0425a93039b156b36444458dd6e782bb80598e419ce0df2e975i0,35632,371,81.4,25
372,7d8b59b519210a79651c283a796170af580814432140f4fc00fad8712f8e8202i0,45942,372,106.21,321
373,56f0002801e3d5ae50d42a23e29d275608fd1e620ebc6033604cf20c7d2f9f13i0,18346,373,90.8,84
374,e9bd6e6c0217a00ae006cca20785108bbfbc2cc63b184efa16adaf386a59b9d1i0,45879,374,103,250
375,97ff1387791fffde80086d16b59c5c4bb35df44ce752f067e3aa7518ef3bfa04i0,37953,375,104.8,287
376,dcf2b196112118bb0eb0895487401ad79bbf156d7ce4949877cd0707f47defa2i0,40301,376,111.8,443
377,9358120b999d132462e116e22141daec9b23091b005a993b53833ab5b030f2cei0,46074,377,112,448
378,96edfb08319cdb4f7cad2d88e4bdd05de4e06d75500db7fa3af354200c9a20c9i0,39955,378,100,193
379,35eb3bd4f0474f92976fef1f157f16f01feb862059a888d4a5b0a71fb7c5d193i0,40137,379,116.4,515
380,8314cfb888a15d5bbbd364c9cac37708ecd42c012edbc0da5636d91aeebb4acai0,37497,380,93.2,104
381,e0a1937790166dae7b4568e55fb99599e0d39614aa683dc2a4874d1dd2c3bd65i0,40659,381,103.6,259
382,9a10facd0e373d1af7955ed45b1746418f8509f01c7abe3695d186733d903dcei0,45878,382,101.6,228
383,7c54d3b9f5eaa2d9ad3529585f6add24cc62ec3a4b52c853e61cd88a2b6f6826i0,45943,383,106.2,318
384,b911b03d89eb10bbf7f4a9c57bd6cd2dad2712f182891d5b44625e04b44255b3i0,39951,384,115,494
385,7f56e1ce48effcb1d73902e7eb32857beff4abd20832fc001d312723941954cfi0,45628,385,103.6,260
386,d6213f9a0be53db77f3a551a492fd101230b59125f807d8ff877c6cbdcee4fc0i0,37957,386,79.4,18
387,cc916eadded3365e7485536d1cc9ebbd0d81d185563455b3696a2b21d554bd61i0,46069,387,103.55,257
388,d0c9e09697e87bf1bf2af24703f491fa93a2ebc764f75b63c7aae9e73bd744d7i0,45759,388,94.43,117
389,7dbb4e0e9b07d2de9963c64b0dc2229d55261ad8a4dcd0a042459fd386eb93b3i0,40041,389,99.94,189
390,82aee6f1ec6fd9d3f246e3bdc8d31e47c8f6971db04a295a5dd8a733ec9b71efi0,39166,390,101.2,218
391,8691d3f1920f1004dea4d05ca3b8f2018dfc658ca681af325d658aba14be03c9i0,39164,391,106.02,315
392,04c447507d6799f80165454eaa503fc64bc6725f09113715760fd50d478dd799i0,40244,392,96.2,133
393,01896dbfa23223c69b0e84a22f02625ee38287b3cb68d921e477e3816e5db0cci0,40252,393,104.2,272
394,a662a25a832706351f31c340214a2f19cc0dee32d71dbd7022675ffb561e6a21i0,40030,394,109.2,394
395,5c9cd4f92fd7a7557fedf2036fa0e5538acf80b3e8320f171618240be2ee1558i0,18324,395,112.4,450
396,9317da138f8e1bfdc24c68cc25c315637267d500524c88efbb20be1a75f3eacai0,40251,396,93.1,102
397,16cea23576b04b67850c10971fc6dc39fb40fd667020a3f8fcc063d64b5b385fi0,40130,397,110.6,422
398,7e18f6980160f8c3b4e8bcd2c7b5169aabd79a43fe8fda1d3ea0231586e46988i0,45752,398,111.4,435
399,58d2490bd95ab88459855ecfb1a8c0952b63eb2e2c9d16a08130bd04f471be27i0,40712,399,87.59,60
400,13fc088cbc0898e1bf19db7592398c188db96e1d66e998ed678405303b2faba9i0,40337,400,104.4,275
401,ea73fcfa1d2eb50864bc8c9a64ba448b3c97fe5d577364ee58ab60afaae35fe3i0,40176,401,109.8,406
402,6516b692da4d75be95274d6b2aedf44bd7e080125a48edc217936dbb9841d558i0,39876,402,112.4,451
403,46ea8d26c2a0578414c21022a0f6963c34e3eacf31714b7c22f48c0809960ebci0,39278,403,113.43,471
404,b2fc0cf8b76040f477de5736487496fc96feb3c8b1ac305b41a1caf2af4b527ai0,45874,404,86.2,49
405,4fbc4c8a8ce597c4958d8c3ec113a48ccc211483dfc79069451a33110d7bd4cei0,40046,405,80.2,20
406,211673c89cff1a075177d2026accc36adaddc524c66fee5140e3a274941e5fb8i0,40524,406,104.6,280
407,83ac512d704eb8f4fc4b1cd4368631092298299c1476226cc3ef9ae8cc9cf587i0,39615,407,96.6,137
408,420724c18203d77dc560bbaefa2096f72158cd05a4feecc279c4becbb0fd7cfbi0,46077,408,103.2,251
409,3d4980434efd56266d2f7e67154ed332353eada32ec148a32eb4e8d046c65e07i0,39147,409,94.2,114
410,7f1471a5d1164d75e3faa57a3c9a3e07ee9ea9a148f5891f58c85c79f8ac7dedi0,40255,410,94.6,118
411,84069106548b4f0eabdaea60d3b2e94be22114d4f56a3022744d2aaf3a0fa170i0,40520,411,101.46,226
412,1ceb0c6f173cceb70c478425f84ca51797d6fd07f60cdc8bb86569af8e35e82bi0,40032,412,103.4,255
413,1071a2414f7f95f901fb1ef800c6c2625b9da955444110da47502bedd64eeb48i0,39152,413,113.8,475
414,6e235898a0cba3d563391c89d5789b70a3486b279983c50691c3002e17820617i0,40781,414,98,157
415,8e190affe9c16ea44da15ea395add5a5e7f0d3d8a2038ea5ba675dce88955f88i0,17524,415,106.4,329
416,2400781005ab07eeff142cc22833acbb221b95babc674c81a8231f84e003d8bdi0,38978,416,113.05,462
417,cbb24cac4d975b1acd61d391a3de24d4d8b6ed554870a31720d1ace76491549di0,46073,417,110,414
418,0ad3bf25fd86d25ee781820b916736f210e1f0237f3715afc1330151f214bdd1i0,45485,418,101.2,219
419,239646c5cfa05f017028996f99fd13f43997e03a3c56d4e7cfae4ba9338fba5di0,39943,419,110.4,417
420,f16c83a9a645f6656e50dc9fa5a030ddacaff15e9f52c41cd3e987144af88b9di0,39160,420,100.2,198
421,bf9f4c7513d5d4b6d40775e79d8cd27d27017cebf958f427199356545c61e1bei0,45876,421,114.8,492
422,a006e0367240cd8181489a6e1882ca9dcf0b3009322e0e61a43f3a2b25cba04fi0,45946,422,76.95,15
423,49460bab513f3e174d766a61fbc07f778d068cbd64ce45331139b93029eb2f52i0,40235,423,104.8,288
424,1abc6e97410164b1510f33f39b1511bf9250bd85ac7f664e44b4487d0bae508bi0,39267,424,103.36,253
425,9d6b07744d578e9b407703d6b6db631ff8d6754449b63bdf1ec3ddf46982b07ci0,39614,425,115.4,498
426,abcd9485ca869d6528c60933f68dbfa77d39dfcd94fa871610d0ee704d4731bai0,38975,426,108.68,376
427,3725645036dd47201b3bb475ae417d011e2e73c406666632a211360d011642c4i0,41054,427,92.2,96
428,6e915bd7a32c51f16c24d266bb3a230365e8ae5327a41ca1d67c7d05f7b3e2fdi0,45489,428,124,547
429,f1974bdba6ff5cdbaf351c98d3b123fb33ddb88db8fd8ca1ffa3d6ec67a416aci0,38974,429,107.4,355
430,e5b50d33c1c12965b715b67f03ae2e2a635ea0c6b3c42f7d93c5ef8c594fb6e7i0,16252,430,113,459
431,9b107d4c083ff7714233f1be92a235789c099207be8da6e07ba803a9edb87d28i0,37955,431,91.8,92
432,65c87fa8698b54a75e56e5211ae0c909f1f06a95438c6310da209b125f490ff9i0,39958,432,94.6,119
433,81d76f038cbf10ba95481e1b16ec675c5b94130082c5e6759788a0d651124fc8i0,40140,433,98.6,166
434,c325e38dd938c5928403c7d057bbffec6417d85456a79e717b9de917bf74d2f2i0,40179,434,123.4,541
435,5bfc813eb92ce126f39cac766bd58f74e32423d0cc230f32d734bffcc2183f43i0,39939,435,99.75,182
436,90ff2835896688120331e3c030c63c6c43e545ccb5f2946b1eb2962cde6bfdb7i0,40174,436,106,313
437,0b4d31ba2b19ca0aea1fd87b8b9a217bfde2d6cd5d9c43a1b834a69cc1b0bbeei0,45631,437,106.4,330
438,c4f5a8191817c7679a3836911453711bbd202a54de1f4997302af4bed90fd6f4i0,40668,438,101,211
439,9a80e374cc39f0cc03e743843dfc68fe5a272dde08ea4977c98d9f15bc0cfb24i0,40655,439,78.8,17
440,c6d249fa5f7339eb97e46598555ce7bd4772b82983b8102aa980ce37cfd02e37i0,40294,440,111.4,436
441,8daeba4b9ca971a67bd93c09723ea736819c006294384eca7fbc503581e03372i0,40167,441,110.4,418
442,22333ec94380873fdf39b3a627020d337e64b031627478d606bcc312f565267di0,39879,442,98.6,167
443,f8a38798265bf26dda0f9e1bf94cd30a795115c7e7ecee5f8b690fc8a4e96c27i0,45944,443,123.4,542
444,1087f061cc63a638b9fa0538049d57932d8be77628be5bd022564aba0b0a2dafi0,39162,444,99.8,187
445,d403893454465b130febd8c2e7a3f9b4529a32c2a467e44d35d4587f635c66eei0,40767,445,115.4,499
446,55566ecde8495f800afeb489adee01da7e3c733822a555a1aaf9d2f2ff6fc07ei0,45951,446,101,212
447,9c1c54e85b727d9c8fea58afd6849e00eca706effe73538609a03ea2ecfc365ci0,45686,447,101,213
448,2e5eb4cf15fb015c0d08b3d05d59a158119c2d7979b5376ecaa671b754ed28c1i0,35915,448,91.8,93
449,dd79fc3980ca5c559bfcb1f2962999c256b4905112168efbf9e51d2f74f6177ai0,39878,449,114.4,483
450,24fef69bf7855625a65dcfdb377402b947a6bc325138a9991cd57bf03634088fi0,34880,450,91.4,89
451,00004c58042ca7aa8aaf8d9117c9a8476ad97f4862ec679fc052c4f2cd16654ai0,37306,451,93.2,105
452,08dc9237627d3e0ab3f2aa0b0672dc8a7ca9607638e63d93bb874c36910f08d0i0,45484,452,110,415
453,f6c28823258f7087e0344dbc39e66fe2e1fb96984df815acadef06d7e5b00ae7i0,46159,453,106.21,322
454,12cf5a998dadba30da797caec30c6280e87e077f2bef052ff5cc733feb3936c7i0,35793,454,83.6,36
455,1a628289f19574c7dac8a40d4cd40c50f1a05f789281938f54f92d25aac3cdd9i0,40143,455,88.8,69
456,5a02abeb3f26e1032a82d9d1bb3a6dad0c4ff67d4ed80998599964eef63d830di0,40653,456,91,85
457,31271437be7c91bd1fe9d29b0cca2ce78332fb75ae8d2ceadb518caee6bca529i0,40517,457,123.2,540
458,3b8d55048f2b061d2623024ff30a6a9e85d89f664948e6506dea3772957f27e0i0,38983,458,117.4,521
459,ffd6b1fed754ee368928c05285e3f901e3e724a2e7172fd85b2ebb7025f7bfcdi0,45877,459,86.6,52
460,146813dd7f4c281f458a7d85e7045a69ce18ba76e66255db6b7bc3f19dd40f77i0,46071,460,96.6,138
461,9284acd83a3eb91c57b0b82d5ce55e9a06465b3889eb3b4f9519d1991bf3b8b9i0,39163,461,113.24,468
462,e5986de7bcedc7227c860f0d8aaf6e254956d561c1b3210f0ec204e544881057i0,40236,462,125.4,551
463,cc6003b5d0003148c1b0690bfd1b799977146034e70affe8d740a6b4f2da057ei0,40373,463,99.2,174
464,2835e2176dcf771a69c188b73b5dc8558230ca892220e8e7d71da8a492ce4499i0,17928,464,117,517
465,fb5674c10b9e753325693208c23acf98fa7a1461edcb2ae8127fa068e5a992cbi0,40175,465,104.69,283
466,f00ba83e4f4e9306928735773d1d22a63678d8ab2964b4081ec22b6f7c1901b2i0,39276,466,113.43,472
467,37a8be0cfd08fa6144b32bbf00d1f948e364a7b2a440029e9d68b37f06eb97e5i0,40177,467,110.77,423
468,8ea7148bc79cdc8a23be761e9109eb1b55d7be18e4d2200304f3585a63fa27e2i0,45760,468,112.8,456
469,558f6df49748513861d5daa2b554379ef33b0cb2f6144670bccb5d7b801aef7fi0,39265,469,107.2,348
470,c0867e15e02da0459a08aae8c575cfb62771b6c487a9171fcf62d83940b2ec37i0,38958,470,100.6,206
471,468fe7060b4eab37543625357396a01dd4f2def2ae6e64588d6f2dad6195ffebi0,45882,471,99.2,175
472,4b1f72e91e0ea73d35747caba9218fc7e7986bedcd540a7fef3adc7d4e2f294fi0,39874,472,101.27,221
473,4dbf4435159ccb664475218c17cb7bc71aa1fd4d66e73b437a427e9709209271i0,45751,473,110.58,420
474,dc4256628e0753e67698cba4caca70325a672e33199c78746fd979f73f50d127i0,40293,474,116,509
475,56f38c2ecffc391bfbf818c62f8754ba29509786e2752a00b846af4dea9983a8i0,17999,475,89.6,75
476,3ce9af4b7aff2fc9cf8bfa3a939726ec08a6c41d796cf1be1da9c0bd9910300fi0,18264,476,119.2,530
477,c59612c4100669970dc5b740db65d08831ae645c237e43e45dbb09b56b489406i0,46063,477,106.4,331
478,cca5a1d69d593b7d24d8b1c999dc80e0f93af4dedf19fb220e3bb098daffd9dci0,39957,478,98.2,161
479,66ce651bc1be8a072e0305b3143077e43b0b3d4591dcef81f5594d8e47b5ed68i0,40371,479,99.94,190
480,5ab13b17d0135748804b6adf8ea354029f5a014817a9d8871f3d23ce53430337i0,40124,480,92.6,99
481,8f281a9b15583a82e0b6a6368a655621f159de1787b1e9039b8052dc60607df1i0,46160,481,95.76,128
482,dab366223d67df1a84aa42da2eb4636ae6f70c5ec6094cbfa8e441d527d77b95i0,40377,482,86.4,51
483,f54dbd4f17bcfebeee4da19f5e08c4b2d2b89697636182dee3fdcc4014dd04a2i0,40171,483,115,495
484,3a45ed554e6715c2877737c8a9914aa05654197102cff095d5b3a5f33e06f0d2i0,45954,484,95,121
485,c794229f8bb89f0196f2420ebdf9c0f8afaf7f80fe44429b0ba24721e1438d0ai0,40118,485,96.8,140
